jobTitle,count,words
"продавец,1604,""Продавец, ПРОДАВЕЦ, продавец"""
"менеджер,1316,""менеджер, МЕНЕДЖЕР, Менеджера, Менеджер, менеджера"""
"кассир,861,""кассир, КАССИР, Кассир, кассира"""
"оператор,804,""операторами, Оператор, оператора, ОПЕРАТОР, оператор"""
"водител,791,""водителя, Водителей, водитель, ВОДИТЕЛЬ, Водитель"""
"бухгалтер,767,""бухгалтер, бухгалтерии, Бухгалтера, БУХГАЛТЕРА, БУХГАЛТЕР, Бухгалтер, бухгалтера"""
"инженер,618,""ИНЖЕНЕР, Инженер, инженера, Инженера, инженер"""
"директор,552,""директор, ДИРЕКТОРА, Директор, Директора, директора, ДИРЕКТОР"""
"администратор,451,""Администратора, администратор, администратора, АДМИНИСТРАТОР, Администратор"""
"слесар,438,""СЛЕСАРЬ, слесарь, Слесарем, Слесарь, слесарей, слесаря, слесарем, Слесар"""